Update 1030/2441 | Step 2,109,440 | Episodes 15160 | FPS   2265 | Mean reward     36.5 | LR 1.73e-04 | Time    931s
Update 1035/2441 | Step 2,119,680 | Episodes 15180 | FPS   2266 | Mean reward     61.6 | LR 1.73e-04 | Time    936s
Update 1040/2441 | Step 2,129,920 | Episodes 15216 | FPS   2266 | Mean reward     26.1 | LR 1.72e-04 | Time    940s
Update 1045/2441 | Step 2,140,160 | Episodes 15252 | FPS   2267 | Mean reward     21.9 | LR 1.72e-04 | Time    944s
Update 1050/2441 | Step 2,150,400 | Episodes 15278 | FPS   2267 | Mean reward     33.9 | LR 1.71e-04 | Time    949s
   ->  Model saved to checkpoints/ant_ppo_2150400.pt
Update 1055/2441 | Step 2,160,640 | Episodes 15305 | FPS   2267 | Mean reward     57.1 | LR 1.70e-04 | Time    953s
Update 1060/2441 | Step 2,170,880 | Episodes 15342 | FPS   2267 | Mean reward     26.1 | LR 1.70e-04 | Time    957s
Update 1065/2441 | Step 2,181,120 | Episodes 15364 | FPS   2268 | Mean reward     51.6 | LR 1.69e-04 | Time    962s
Update 1070/2441 | Step 2,191,360 | Episodes 15388 | FPS   2268 | Mean reward     41.2 | LR 1.68e-04 | Time    966s
Update 1075/2441 | Step 2,201,600 | Episodes 15426 | FPS   2268 | Mean reward     15.7 | LR 1.68e-04 | Time    971s
Update 1080/2441 | Step 2,211,840 | Episodes 15459 | FPS   2269 | Mean reward     31.8 | LR 1.67e-04 | Time    975s
Update 1085/2441 | Step 2,222,080 | Episodes 15489 | FPS   2269 | Mean reward     36.5 | LR 1.67e-04 | Time    979s
Update 1090/2441 | Step 2,232,320 | Episodes 15516 | FPS   2269 | Mean reward     44.3 | LR 1.66e-04 | Time    984s
Update 1095/2441 | Step 2,242,560 | Episodes 15539 | FPS   2270 | Mean reward     37.2 | LR 1.65e-04 | Time    988s
Update 1100/2441 | Step 2,252,800 | Episodes 15585 | FPS   2270 | Mean reward     -7.8 | LR 1.65e-04 | Time    992s
   ->  Model saved to checkpoints/ant_ppo_2252800.pt
Update 1105/2441 | Step 2,263,040 | Episodes 15628 | FPS   2271 | Mean reward     35.9 | LR 1.64e-04 | Time    997s
Update 1110/2441 | Step 2,273,280 | Episodes 15663 | FPS   2271 | Mean reward     47.2 | LR 1.64e-04 | Time   1001s
Update 1115/2441 | Step 2,283,520 | Episodes 15697 | FPS   2271 | Mean reward     50.7 | LR 1.63e-04 | Time   1005s
Update 1120/2441 | Step 2,293,760 | Episodes 15756 | FPS   2271 | Mean reward     17.5 | LR 1.62e-04 | Time   1010s
Update 1125/2441 | Step 2,304,000 | Episodes 15795 | FPS   2272 | Mean reward     38.0 | LR 1.62e-04 | Time   1014s
Update 1130/2441 | Step 2,314,240 | Episodes 15835 | FPS   2272 | Mean reward     28.8 | LR 1.61e-04 | Time   1018s
